sample	classification	n_reads	p_reads
SRR10002875	Filtered	368155	0.06675752505662481
SRR10002875	Duplicate	515777	0.0935258138586486
SRR10002875	Ribosomal	11500	0.002085294341109547
SRR10002875	Unassigned	1957216	0.35490186514165767
SRR10002875	Bacterial	1275312	0.23125225189122597
SRR10002875	Archaeal	3906	7.082747562064253e-4
SRR10002875	Viral	856	1.5521843095563236e-4
SRR10002875	Human	1382087	0.2506137565235714
SRR10002876	Filtered	341697	0.07645533230840074
SRR10002876	Duplicate	451638	0.10105483329704824
SRR10002876	Ribosomal	10493	0.0023478280520813732
SRR10002876	Unassigned	1855389	0.415146701774822
SRR10002876	Bacterial	945275	0.21150702010208902
SRR10002876	Archaeal	1128	2.5239207497834644e-4
SRR10002876	Viral	469	1.049396127347912e-4
SRR10002876	Human	863148	0.19313095277784553
SRR10002877	Filtered	230163	0.06481728415852542
SRR10002877	Duplicate	236430	0.06658216348240233
SRR10002877	Ribosomal	15734	0.004430925687231392
SRR10002877	Unassigned	1787706	0.5034442885863534
SRR10002877	Bacterial	481607	0.13562761074427668
SRR10002877	Archaeal	383	1.0785843003747447e-4
SRR10002877	Viral	502	1.4137057931804748e-4
SRR10002877	Human	798426	0.22484849833185533
SRR10002878	Filtered	308735	0.7826438550283032
SRR10002878	Duplicate	7557	0.019157010421393388
SRR10002878	Ribosomal	510	0.0012928510407450879
SRR10002878	Unassigned	28416	0.07203461798786748
SRR10002878	Bacterial	35798	0.09074800305214245
SRR10002878	Archaeal	15	3.8025030610149644e-5
SRR10002878	Viral	20	5.070004081353286e-5
SRR10002878	Human	13426	0.034034937398124604
SRR10002879	Filtered	375141	0.08798707756276868
SRR10002879	Duplicate	234914	0.055097673510973846
SRR10002879	Ribosomal	32051	0.007517370329994052
SRR10002879	Unassigned	3121716	0.7321798145788809
SRR10002879	Bacterial	441071	0.10345056468817841
SRR10002879	Archaeal	776	1.8200615818774404e-4
SRR10002879	Viral	298	6.989411744838624e-5
SRR10002879	Human	57625	0.013515599053567978
SRR10002880	Filtered	299773	0.06738081478789203
SRR10002880	Duplicate	289019	0.06496360816078088
SRR10002880	Ribosomal	19468	0.004375876754379754
SRR10002880	Unassigned	1966614	0.44204132357909315
SRR10002880	Bacterial	564922	0.12697909635492702
SRR10002880	Archaeal	473	1.0631753158113949e-4
SRR10002880	Viral	568	1.2767094701498358e-4
SRR10002880	Human	1308100	0.294025291884331
SRR10002881	Filtered	426429	0.09457795130675706
SRR10002881	Duplicate	227691	0.05049972753022618
SRR10002881	Ribosomal	14223	0.0031545279552657197
SRR10002881	Unassigned	2325536	0.51578206587758
SRR10002881	Bacterial	710111	0.15749595731151622
SRR10002881	Archaeal	1377	3.0540568054565815e-4
SRR10002881	Viral	451	1.0002756857377766e-4
SRR10002881	Human	802939	0.17808433676953536
SRR10002882	Filtered	295345	0.07610052602625364
SRR10002882	Duplicate	217922	0.056151209035850434
SRR10002882	Ribosomal	10364	0.0026704560826697346
SRR10002882	Unassigned	2008478	0.5175175889625958
SRR10002882	Bacterial	659490	0.16992851041681428
SRR10002882	Archaeal	644	1.6593725561938529e-4
SRR10002882	Viral	652	1.6799858798732795e-4
SRR10002882	Human	688090	0.17729777363220936
SRR10002883	Filtered	478341	0.0759836360875292
SRR10002883	Duplicate	368515	0.058537966958290895
SRR10002883	Ribosomal	15717	0.002496618120520082
SRR10002883	Unassigned	3031603	0.4815648650520482
SRR10002883	Bacterial	972555	0.15448867062431815
