name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Bacteria	2	D	440771	300	441071	0.88255	SRR10002879
Eukaryota	2759	D	57232	393	57625	0.1153	SRR10002879
Archaea	2157	D	775	1	776	0.00155	SRR10002879
Viruses	10239	D	297	1	298	6e-4	SRR10002879
Eukaryota	2759	D	893040	992	894032	0.5822	SRR10002886
Bacteria	2	D	640190	212	640402	0.41704	SRR10002886
Archaea	2157	D	637	0	637	4.1e-4	SRR10002886
Viruses	10239	D	503	32	535	3.5e-4	SRR10002886
Bacteria	2	D	701099	319	701418	0.51216	SRR10002938
Eukaryota	2759	D	645329	1399	646728	0.47222	SRR10002938
Archaea	2157	D	20967	9	20976	0.01532	SRR10002938
Viruses	10239	D	386	29	415	3e-4	SRR10002938
Eukaryota	2759	D	2042633	631	2043264	0.79601	SRR10002891
Bacteria	2	D	522309	77	522386	0.20351	SRR10002891
Archaea	2157	D	838	0	838	3.3e-4	SRR10002891
Viruses	10239	D	359	27	386	1.5e-4	SRR10002891
Eukaryota	2759	D	700913	612	701525	0.5893	SRR10002966
Bacteria	2	D	487325	352	487677	0.40967	SRR10002966
Archaea	2157	D	588	0	588	4.9e-4	SRR10002966
Viruses	10239	D	611	27	638	5.4e-4	SRR10002966
Bacteria	2	D	1325931	556	1326487	0.59184	SRR10002939
Eukaryota	2759	D	911519	1363	912882	0.4073	SRR10002939
Archaea	2157	D	1252	0	1252	5.6e-4	SRR10002939
Viruses	10239	D	663	16	679	3e-4	SRR10002939
Bacteria	2	D	1564240	338	1564578	0.63339	SRR10002945
Eukaryota	2759	D	900786	910	901696	0.36503	SRR10002945
Archaea	2157	D	2901	0	2901	0.00117	SRR10002945
Viruses	10239	D	985	6	991	4e-4	SRR10002945
Eukaryota	2759	D	863452	1001	864453	0.6407	SRR10002894
Bacteria	2	D	483481	181	483662	0.35847	SRR10002894
Archaea	2157	D	593	0	593	4.4e-4	SRR10002894
Viruses	10239	D	503	15	518	3.8e-4	SRR10002894
Bacteria	2	D	1405923	414	1406337	0.71129	SRR10002911
Eukaryota	2759	D	565677	1803	567480	0.28702	SRR10002911
Archaea	2157	D	2944	2	2946	0.00149	SRR10002911
Viruses	10239	D	364	43	407	2.1e-4	SRR10002911
Bacteria	2	D	1499966	358	1500324	0.69893	SRR10002955
Eukaryota	2759	D	642060	1403	643463	0.29976	SRR10002955
Archaea	2157	D	2141	1	2142	0.001	SRR10002955
Viruses	10239	D	658	9	667	3.1e-4	SRR10002955
Bacteria	2	D	774010	462	774472	0.5527	SRR10002909
Eukaryota	2759	D	624316	836	625152	0.44614	SRR10002909
Archaea	2157	D	1162	0	1162	8.3e-4	SRR10002909
Viruses	10239	D	428	36	464	3.3e-4	SRR10002909
Eukaryota	2759	D	1014367	555	1014922	0.56598	SRR10002896
Bacteria	2	D	776900	474	777374	0.43351	SRR10002896
Archaea	2157	D	460	0	460	2.6e-4	SRR10002896
Viruses	10239	D	414	40	454	2.5e-4	SRR10002896
Bacteria	2	D	1217832	396	1218228	0.73002	SRR10002907
Eukaryota	2759	D	447721	906	448627	0.26884	SRR10002907
Archaea	2157	D	1128	0	1128	6.8e-4	SRR10002907
Viruses	10239	D	750	16	766	4.6e-4	SRR10002907
Eukaryota	2759	D	1748056	678	1748734	0.7776	SRR10002913
Bacteria	2	D	499145	139	499284	0.22201	SRR10002913
Archaea	2157	D	432	0	432	1.9e-4	SRR10002913
Viruses	10239	D	424	1	425	1.9e-4	SRR10002913
Eukaryota	2759	D	767421	721	768142	0.58801	SRR10002958
Bacteria	2	D	536916	134	537050	0.41111	SRR10002958
Archaea	2157	D	777	0	777	5.9e-4	SRR10002958
Viruses	10239	D	369	4	373	2.9e-4	SRR10002958
Eukaryota	2759	D	1030481	781	1031262	0.71634	SRR10002962
Bacteria	2	D	406668	111	406779	0.28256	SRR10002962
Archaea	2157	D	1351	0	1351	9.4e-4	SRR10002962
Viruses	10239	D	231	9	240	1.7e-4	SRR10002962
Bacteria	2	D	897579	287	897866	0.69108	SRR10002905
Eukaryota	2759	D	398928	783	399711	0.30765	SRR10002905
Archaea	2157	D	1259	0	1259	9.7e-4	SRR10002905
Viruses	10239	D	378	5	383	2.9e-4	SRR10002905
Eukaryota	2759	D	1639045	1546	1640591	0.6823	SRR10002927
Bacteria	2	D	761996	259	762255	0.31701	SRR10002927
