sample,library,country,region,city,location,instrument,date
SRR10002875,SRR10002875,Hong Kong,Asia,Hong Kong,"Hong Kong, Yau Tong",SASS 3100 electret filter air sampler,2017-07-05
SRR10002876,SRR10002876,Hong Kong,Asia,Hong Kong,"Hong Kong, Kowloon Tong",SASS 3100 electret filter air sampler,2017-07-13
SRR10002877,SRR10002877,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-26
SRR10002878,SRR10002878,uncalculated,uncalculated,,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-21
SRR10002879,SRR10002879,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-26
SRR10002880,SRR10002880,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-26
SRR10002881,SRR10002881,Sweden,Europe,Stockholm,"Stockholm, Fridhemsplan",SASS 3100 electret filter air sampler,2017-09-28
SRR10002882,SRR10002882,Sweden,Europe,Stockholm,"Stockholm, Skanstull",SASS 3100 electret filter air sampler,2017-09-28
SRR10002883,SRR10002883,Sweden,Europe,Stockholm,"Stockholm, Skanstull",SASS 3100 electret filter air sampler,2017-09-28
SRR10002884,SRR10002884,Sweden,Europe,Stockholm,"Stockholm, Fridhemsplan",SASS 3100 electret filter air sampler,2017-09-28
SRR10002885,SRR10002885,Sweden,Europe,Stockholm,"Stockholm, Slussen",SASS 3100 electret filter air sampler,2017-09-27
SRR10002886,SRR10002886,Sweden,Europe,Stockholm,"Stockholm, Medborgarplatsen",SASS 3100 electret filter air sampler,2017-09-27
SRR10002887,SRR10002887,Sweden,Europe,Stockholm,"Stockholm, Tekniska hoegskolan",SASS 3100 electret filter air sampler,2017-09-27
SRR10002888,SRR10002888,Sweden,Europe,Stockholm,"Stockholm, T-centralen",SASS 3100 electret filter air sampler,2017-09-27
SRR10002889,SRR10002889,Norway,Europe,Oslo,"Oslo, Groenland",SASS 3100 electret filter air sampler,2017-06-21
SRR10002890,SRR10002890,uncalculated,uncalculated,,"Oslo, Groenland",SASS 3100 electret filter air sampler,2017-06-21
SRR10002891,SRR10002891,Hong Kong,Asia,Hong Kong,"Hong Kong, Cheung Sha Wan",SASS 3100 electret filter air sampler,2017-07-04
SRR10002892,SRR10002892,Hong Kong,Asia,Hong Kong,"Hong Kong, Ocean Park",SASS 3100 electret filter air sampler,2017-07-05
SRR10002893,SRR10002893,Sweden,Europe,Stockholm,"Stockholm, Medborgarplatsen",SASS 3100 electret filter air sampler,2017-09-28
SRR10002894,SRR10002894,Sweden,Europe,Stockholm,"Stockholm, Slussen",SASS 3100 electret filter air sampler,2017-09-28
SRR10002895,SRR10002895,Hong Kong,Asia,Hong Kong,"Hong Kong, Sham Shui Po",SASS 3100 electret filter air sampler,2017-07-04
SRR10002896,SRR10002896,USA,North America,Denver,"Denver, Denver Airport",SASS 3100 electret filter air sampler,2017-06-27
SRR10002897,SRR10002897,Hong Kong,Asia,Hong Kong,"Hong Kong, Tsing Yi",SASS 3100 electret filter air sampler,2017-07-04
SRR10002898,SRR10002898,Hong Kong,Asia,Hong Kong,"Hong Kong, Tai Wai",SASS 3100 electret filter air sampler,2017-07-13
SRR10002899,SRR10002899,Hong Kong,Asia,Hong Kong,"Hong Kong, Lai King",SASS 3100 electret filter air sampler,2017-07-04
SRR10002900,SRR10002900,Norway,Europe,Oslo,"Oslo, Nationaltheateret",SASS 3100 electret filter air sampler,2017-06-21
SRR10002901,SRR10002901,USA,North America,New York City,"New York City, 68th St.",SASS 3100 electret filter air sampler,2017-06-22
SRR10002902,SRR10002902,USA,North America,New York City,"New York City, 63rd St.",SASS 3100 electret filter air sampler,2017-06-22
SRR10002903,SRR10002903,Norway,Europe,Oslo,"Oslo, Ellingsrudaasen",SASS 3100 electret filter air sampler,2017-06-21
SRR10002904,SRR10002904,Norway,Europe,Oslo,"Oslo, Lindeberg",SASS 3100 electret filter air sampler,2017-06-21
SRR10002905,SRR10002905,USA,North America,New York City,"New York City, 68th St.",SASS 3100 electret filter air sampler,2017-06-21
SRR10002906,SRR10002906,USA,North America,New York City,"New York City, 57th St",SASS 3100 electret filter air sampler,2017-06-21
SRR10002907,SRR10002907,USA,North America,New York City,"New York City, 72nd St.",SASS 3100 electret filter air sampler,2017-06-22
