name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Eukaryota	2759	D	628649	846	629495	0.50701	SRR10002747
Bacteria	2	D	610755	127	610882	0.49202	SRR10002747
Archaea	2157	D	874	0	874	7e-4	SRR10002747
Viruses	10239	D	312	12	324	2.6e-4	SRR10002747
Bacteria	2	D	645143	227	645370	0.67442	SRR10002760
Eukaryota	2759	D	307163	689	307852	0.32171	SRR10002760
Archaea	2157	D	3325	1	3326	0.00348	SRR10002760
Viruses	10239	D	368	7	375	3.9e-4	SRR10002760
Eukaryota	2759	D	943543	950	944493	0.54109	SRR10002752
Bacteria	2	D	797023	197	797220	0.45672	SRR10002752
Archaea	2157	D	3386	0	3386	0.00194	SRR10002752
Viruses	10239	D	443	7	450	2.6e-4	SRR10002752
Bacteria	2	D	680400	300	680700	0.61376	SRR10002699
Eukaryota	2759	D	426007	737	426744	0.38478	SRR10002699
Archaea	2157	D	881	0	881	7.9e-4	SRR10002699
Viruses	10239	D	726	16	742	6.7e-4	SRR10002699
Bacteria	2	D	697509	209	697718	0.60802	SRR10002726
Eukaryota	2759	D	446733	741	447474	0.38995	SRR10002726
Archaea	2157	D	2010	0	2010	0.00175	SRR10002726
Viruses	10239	D	305	18	323	2.8e-4	SRR10002726
Bacteria	2	D	1547817	600	1548417	0.81416	SRR10002737
Eukaryota	2759	D	348050	1158	349208	0.18361	SRR10002737
Archaea	2157	D	3818	2	3820	0.00201	SRR10002737
Viruses	10239	D	413	8	421	2.2e-4	SRR10002737
Bacteria	2	D	423832	113	423945	0.5327	SRR10002711
Eukaryota	2759	D	370273	429	370702	0.4658	SRR10002711
Archaea	2157	D	1018	0	1018	0.00128	SRR10002711
Viruses	10239	D	164	6	170	2.1e-4	SRR10002711
Eukaryota	2759	D	881551	782	882333	0.64056	SRR10002704
Bacteria	2	D	494069	105	494174	0.35876	SRR10002704
Archaea	2157	D	695	0	695	5e-4	SRR10002704
Viruses	10239	D	230	1	231	1.7e-4	SRR10002704
Bacteria	2	D	1247006	487	1247493	0.6594	SRR10002731
Eukaryota	2759	D	640257	1351	641608	0.33914	SRR10002731
Archaea	2157	D	2330	1	2331	0.00123	SRR10002731
Viruses	10239	D	347	77	424	2.2e-4	SRR10002731
Eukaryota	2759	D	799507	727	800234	0.55472	SRR10002740
Bacteria	2	D	639247	193	639440	0.44326	SRR10002740
Archaea	2157	D	1887	0	1887	0.00131	SRR10002740
Viruses	10239	D	1017	17	1034	7.2e-4	SRR10002740
Eukaryota	2759	D	1386259	1166	1387425	0.62982	SRR10002703
Bacteria	2	D	813892	221	814113	0.36956	SRR10002703
Archaea	2157	D	898	0	898	4.1e-4	SRR10002703
Viruses	10239	D	454	9	463	2.1e-4	SRR10002703
Eukaryota	2759	D	1208737	628	1209365	0.6341	SRR10002698
Bacteria	2	D	696363	297	696660	0.36527	SRR10002698
Archaea	2157	D	416	0	416	2.2e-4	SRR10002698
Viruses	10239	D	665	114	779	4.1e-4	SRR10002698
Bacteria	2	D	839069	119	839188	0.50766	SRR10002684
Eukaryota	2759	D	811732	619	812351	0.49142	SRR10002684
Archaea	2157	D	696	0	696	4.2e-4	SRR10002684
Viruses	10239	D	723	103	826	5e-4	SRR10002684
Eukaryota	2759	D	1958028	1167	1959195	0.58634	SRR10002772
Bacteria	2	D	1379465	347	1379812	0.41295	SRR10002772
Archaea	2157	D	1463	0	1463	4.4e-4	SRR10002772
Viruses	10239	D	891	10	901	2.7e-4	SRR10002772
Eukaryota	2759	D	783160	551	783711	0.52419	SRR10002692
Bacteria	2	D	710035	376	710411	0.47517	SRR10002692
Archaea	2157	D	452	0	452	3e-4	SRR10002692
Viruses	10239	D	449	56	505	3.4e-4	SRR10002692
Eukaryota	2759	D	1099460	868	1100328	0.6034	SRR10002748
Bacteria	2	D	721681	241	721922	0.39589	SRR10002748
Archaea	2157	D	704	0	704	3.9e-4	SRR10002748
Viruses	10239	D	578	23	601	3.3e-4	SRR10002748
Bacteria	2	D	750960	357	751317	0.51188	SRR10002751
Eukaryota	2759	D	713349	810	714159	0.48656	SRR10002751
Archaea	2157	D	1519	0	1519	0.00103	SRR10002751
Viruses	10239	D	731	44	775	5.3e-4	SRR10002751
Eukaryota	2759	D	930747	1068	931815	0.54011	SRR10002761
Bacteria	2	D	791078	307	791385	0.45871	SRR10002761
Archaea	2157	D	1668	0	1668	9.7e-4	SRR10002761
Viruses	10239	D	339	17	356	2.1e-4	SRR10002761
Bacteria	2	D	1137395	423	1137818	0.67629	SRR10002764
Eukaryota	2759	D	540425	907	541332	0.32176	SRR10002764
Archaea	2157	D	2728	1	2729	0.00162	SRR10002764
Viruses	10239	D	534	18	552	3.3e-4	SRR10002764
Bacteria	2	D	1351953	277	1352230	0.54357	SRR10002725
Eukaryota	2759	D	1130802	1103	1131905	0.455	SRR10002725
Archaea	2157	D	2953	0	2953	0.00119	SRR10002725
Viruses	10239	D	597	5	602	2.4e-4	SRR10002725
Bacteria	2	D	688960	144	689104	0.53483	SRR10002705
Eukaryota	2759	D	596790	620	597410	0.46366	SRR10002705
Archaea	2157	D	1696	0	1696	0.00132	SRR10002705
Viruses	10239	D	236	10	246	1.9e-4	SRR10002705
Eukaryota	2759	D	2252516	1000	2253516	0.78035	SRR10002768
Bacteria	2	D	633370	99	633469	0.21936	SRR10002768
Archaea	2157	D	426	0	426	1.5e-4	SRR10002768
Viruses	10239	D	404	0	404	1.4e-4	SRR10002768
Bacteria	2	D	1095202	207	1095409	0.5382	SRR10002681
Eukaryota	2759	D	932314	1311	933625	0.45871	SRR10002681
Archaea	2157	D	5572	2	5574	0.00274	SRR10002681
Viruses	10239	D	724	3	727	3.6e-4	SRR10002681
Bacteria	2	D	513353	277	513630	0.84433	SRR10002694
Eukaryota	2759	D	92484	630	93114	0.15307	SRR10002694
Archaea	2157	D	1398	1	1399	0.0023	SRR10002694
Viruses	10239	D	177	5	182	3e-4	SRR10002694
Eukaryota	2759	D	1512741	1050	1513791	0.5684	SRR10002773
Bacteria	2	D	1146428	368	1146796	0.4306	SRR10002773
Archaea	2157	D	1233	0	1233	4.6e-4	SRR10002773
