sample,library,country,region,city,location,instrument,date
SRR10002675,SRR10002675,Sweden,Europe,Stockholm,"Stockholm, T-centralen",SASS 3100 electret filter air sampler,2017-06-21
SRR10002676,SRR10002676,Sweden,Europe,Stockholm,"Stockholm, Slussen",SASS 3100 electret filter air sampler,2017-06-21
SRR10002677,SRR10002677,Sweden,Europe,Stockholm,"Stockholm, Medborgarplatsen",SASS 3100 electret filter air sampler,2017-06-21
SRR10002678,SRR10002678,Hong Kong,Asia,Hong Kong,"Hong Kong, Admiralty",SASS 3100 electret filter air sampler,2017-07-14
SRR10002679,SRR10002679,Hong Kong,Asia,Hong Kong,"Hong Kong, Ocean Park",SASS 3100 electret filter air sampler,2017-07-14
SRR10002680,SRR10002680,Hong Kong,Asia,Hong Kong,"Hong Kong, Fortress Hill",SASS 3100 electret filter air sampler,2017-07-14
SRR10002681,SRR10002681,Hong Kong,Asia,Hong Kong,"Hong Kong, North Point",SASS 3100 electret filter air sampler,2017-07-14
SRR10002682,SRR10002682,Hong Kong,Asia,Hong Kong,"Hong Kong, Quarry Bay",SASS 3100 electret filter air sampler,2017-07-14
SRR10002683,SRR10002683,Hong Kong,Asia,Hong Kong,"Hong Kong, Yau Tong",SASS 3100 electret filter air sampler,2017-07-14
SRR10002684,SRR10002684,Hong Kong,Asia,Hong Kong,"Hong Kong, Tsing Yi",SASS 3100 electret filter air sampler,2017-07-13
SRR10002685,SRR10002685,Hong Kong,Asia,Hong Kong,"Hong Kong, Lai King",SASS 3100 electret filter air sampler,2017-07-13
SRR10002686,SRR10002686,Hong Kong,Asia,Hong Kong,"Hong Kong, Cheung Sha Wan",SASS 3100 electret filter air sampler,2017-07-13
SRR10002687,SRR10002687,Hong Kong,Asia,Hong Kong,"Hong Kong, Sham Shui Po",SASS 3100 electret filter air sampler,2017-07-13
SRR10002688,SRR10002688,uncalculated,uncalculated,,"Hong Kong, Sham Shui Po",SASS 3100 electret filter air sampler,2017-06-21
SRR10002689,SRR10002689,USA,North America,Denver,"Denver, Denver Airport",SASS 3100 electret filter air sampler,2017-06-23
