sample	classification	n_reads	p_reads
SRR10002775	Filtered	423580	0.07354294409291712
SRR10002775	Duplicate	500944	0.0869750615838384
SRR10002775	Ribosomal	17017	0.002954531091244087
SRR10002775	Unassigned	2746702	0.4768887851784872
SRR10002775	Bacterial	1141644	0.19821488471130427
SRR10002775	Archaeal	5555	9.644720110396018e-4
SRR10002775	Viral	664	1.1528522328178139e-4
SRR10002775	Human	923522	0.16034403610788753
SRR10002776	Filtered	367603	0.06076302596738626
SRR10002776	Duplicate	384727	0.06359354165051595
SRR10002776	Ribosomal	15038	0.002485709813297374
SRR10002776	Unassigned	2759692	0.4561639503975433
SRR10002776	Bacterial	1208959	0.1998351675870581
SRR10002776	Archaeal	1609	2.6596004053700456e-4
SRR10002776	Viral	980	1.619893348205497e-4
SRR10002776	Human	1311173	0.21673065520884144
SRR10002777	Filtered	292208	0.08578711930806157
SRR10002777	Duplicate	233894	0.0686671565577936
SRR10002777	Ribosomal	10088	0.0029616590222708654
SRR10002777	Unassigned	1682088	0.49383139387921843
SRR10002777	Bacterial	694162	0.20379373019603375
SRR10002777	Archaeal	1074	3.1530747322748906e-4
SRR10002777	Viral	414	1.2154310420500975e-4
SRR10002777	Human	492271	0.14452209045918926
SRR10002778	Filtered	295701	0.07669338260505558
SRR10002778	Duplicate	188047	0.04877210600820723
SRR10002778	Ribosomal	10243	0.0026566373398249727
SRR10002778	Unassigned	1887499	0.4895441103468023
SRR10002778	Bacterial	781983	0.20281609263969066
SRR10002778	Archaeal	799	2.072296431240997e-4
SRR10002778	Viral	389	1.0089152837956793e-4
SRR10002778	Human	690965	0.17920954988891558
SRR10002779	Filtered	520309	0.08736655757369988
SRR10002779	Duplicate	293549	0.04929064384664118
SRR10002779	Ribosomal	20642	0.0034660566729314943
SRR10002779	Unassigned	3228456	0.5420991891321442
SRR10002779	Bacterial	1307695	0.21957877051202163
SRR10002779	Archaeal	2977	4.998765001122497e-4
SRR10002779	Viral	614	1.0309847869295308e-4
SRR10002779	Human	581229	0.0975958072837564
SRR10002780	Filtered	635366	0.08926973477433317
SRR10002780	Duplicate	409347	0.057513776501526614
SRR10002780	Ribosomal	16185	0.002274013178738841
SRR10002780	Unassigned	3801436	0.5341066148985025
SRR10002780	Bacterial	1500596	0.21083565523403086
SRR10002780	Archaeal	4704	6.609180100579245e-4
SRR10002780	Viral	1008	1.4162528786955525e-4
SRR10002780	Human	748731	0.10519766211494044
SRR10002781	Filtered	456341	0.07470456858509032
SRR10002781	Duplicate	365387	0.0598150904731339
SRR10002781	Ribosomal	17766	0.002908354422422519
SRR10002781	Unassigned	2967611	0.4858079801801032
SRR10002781	Bacterial	1172939	0.19201409027816316
SRR10002781	Archaeal	1106	1.8105594907122063e-4
SRR10002781	Viral	513	8.397983894533108e-5
SRR10002781	Human	1126946	0.18448488027307036
SRR10002782	Filtered	385318	0.0786244526336839
SRR10002782	Duplicate	270066	0.05510718789407314
SRR10002782	Ribosomal	14777	0.003015258920081457
SRR10002782	Unassigned	2454145	0.5007702918334782
SRR10002782	Bacterial	989831	0.2019758240592237
SRR10002782	Archaeal	1101	2.246599493137771e-4
SRR10002782	Viral	584	1.1916567702020512e-4
SRR10002782	Human	784918	0.1601631590331256
SRR10002783	Filtered	527781	0.079639764216768
SRR10002783	Duplicate	381806	0.05761279738480036
SRR10002783	Ribosomal	26267	0.00396357141822431
SRR10002783	Unassigned	3618687	0.5460434904899636
SRR10002783	Bacterial	1309433	0.19758751333915991
SRR10002783	Archaeal	1763	2.6602872084095856e-4
SRR10002783	Viral	529	7.982370579969772e-5
SRR10002783	Human	760838	0.11480701072444313
SRR10002784	Filtered	302051	0.06609490369607254
SRR10002784	Duplicate	390109	0.08536378553943264
SRR10002784	Ribosomal	8179	0.0017897315927779657
SRR10002784	Unassigned	1324217	0.2897656193414427
SRR10002784	Bacterial	900245	0.1969919204964421
SRR10002784	Archaeal	1081	2.3654479175852562e-4
SRR10002784	Viral	449	9.825033441219057e-5
SRR10002784	Human	1643628	0.3596592442076614
SRR10002785	Filtered	355080	0.07550851501621685
SRR10002785	Duplicate	292494	0.06219946939042844
SRR10002785	Ribosomal	12173	0.0025886142652146215
SRR10002785	Unassigned	2149674	0.4571327349019121
SRR10002785	Bacterial	986405	0.20976111511369658
SRR10002785	Archaeal	1552	3.300360913179243e-4
SRR10002785	Viral	607	1.2907983726158508e-4
SRR10002785	Human	904531	0.1923504353839519
SRR10002786	Filtered	312797	0.07664827221179434
SRR10002786	Duplicate	203448	0.04985322009144952
SRR10002786	Ribosomal	11467	0.002809891838645018
SRR10002786	Unassigned	1899171	0.4653758692850177
SRR10002786	Bacterial	764421	0.18731493234401878
SRR10002786	Archaeal	1426	3.4942929815189635e-4
SRR10002786	Viral	664	1.6270761148166844e-4
SRR10002786	Human	887546	0.2174856773194411
SRR10002787	Filtered	299470	0.06212799857267629
SRR10002787	Duplicate	472060	0.09793349252418464
SRR10002787	Ribosomal	12343	0.0025606768169851523
SRR10002787	Unassigned	1575070	0.3267637717028926
SRR10002787	Bacterial	1134569	0.23537750429960522
SRR10002787	Archaeal	1737	3.6035774374975363e-4
SRR10002787	Viral	962	1.9957636700475704e-4
SRR10002787	Human	1323999	0.2746766219729016
SRR10002788	Filtered	295123	0.05382781512033345
SRR10002788	Duplicate	568155	0.10362642796289362
SRR10002788	Ribosomal	13451	0.0024533429830396318
SRR10002788	Unassigned	1605961	0.29291302879974057
SRR10002788	Bacterial	1722200	0.3141139904386926
SRR10002788	Archaeal	1175	2.1430956843889433e-4
SRR10002788	Viral	1120	2.0427805672473332e-4
SRR10002788	Human	1275538	0.2326468070701365
SRR10002789	Filtered	220996	0.05354542551454208
SRR10002789	Duplicate	404084	0.09790606944749328
SRR10002789	Ribosomal	9725	0.0023562836573011356
SRR10002789	Unassigned	1569600	0.38030054791772366
SRR10002789	Bacterial	1029950	0.24954800543314187
SRR10002789	Archaeal	812	1.9674059945794573e-4
SRR10002789	Viral	387	9.376676353475984e-5
SRR10002789	Human	891708	0.21605316066680524
SRR10002790	Filtered	215563	0.0523442775771901
SRR10002790	Duplicate	332486	0.08073620924986954
SRR10002790	Ribosomal	4942	0.0012000455541371826
SRR10002790	Unassigned	523899	0.1272162415554261
SRR10002790	Bacterial	259393	0.06298733638694985
SRR10002790	Archaeal	454	1.1024295458888727e-4
SRR10002790	Viral	178	4.322300862736109e-5
SRR10002790	Human	2781262	0.675362423713211
SRR10002791	Filtered	381295	0.07059106023682843
SRR10002791	Duplicate	475416	0.08801615414194265
SRR10002791	Ribosomal	13671	0.0025309809583070365
SRR10002791	Unassigned	1608500	0.2977896914224905
SRR10002791	Bacterial	1129029	0.20902281474482007
SRR10002791	Archaeal	900	1.6662152457584177e-4
SRR10002791	Viral	1200	2.2216203276778903e-4
SRR10002791	Human	1791452	0.33166051493826765
SRR10002792	Filtered	307801	0.06569935109828338
SRR10002792	Duplicate	444222	0.0948180712329773
SRR10002792	Ribosomal	7725	0.0016488818659921157
SRR10002792	Unassigned	593884	0.12676304959260346
SRR10002792	Bacterial	420641	0.08978476595375916
SRR10002792	Archaeal	380	8.111004648246005e-5
SRR10002792	Viral	379	8.089659899171675e-5
SRR10002792	Human	2909961	0.6211238736109104
SRR10002793	Filtered	242074	0.06526476588569702
SRR10002793	Duplicate	331856	0.08947059224767578
SRR10002793	Ribosomal	8866	0.0023903327674289257
SRR10002793	Unassigned	968536	0.26112376914443286
SRR10002793	Bacterial	795881	0.21457482892782548
SRR10002793	Archaeal	671	1.8090607793196583e-4
SRR10002793	Viral	738	1.989697250578104e-4
SRR10002793	Human	1360485	0.36679583522395015
SRR10002794	Filtered	296345	0.0655764730614119
SRR10002794	Duplicate	405507	0.08973230141124013
SRR10002794	Ribosomal	8389	0.0018563533466472674
SRR10002794	Unassigned	874229	0.19345308497867372
SRR10002794	Bacterial	653258	0.14455568894076776
SRR10002794	Archaeal	498	1.1019954304807953e-4
SRR10002794	Viral	688	1.5224354541582073e-4
SRR10002794	Human	2280161	0.5045636551727953
SRR10002795	Filtered	195589	0.05968991845886367
SRR10002795	Duplicate	298949	0.09123335889727355
SRR10002795	Ribosomal	7110	0.0021698322515198744
SRR10002795	Unassigned	891461	0.272056375354734
SRR10002795	Bacterial	702255	0.21431442303672144
SRR10002795	Archaeal	552	1.6845955032896914e-4
SRR10002795	Viral	629	1.9195843687848117e-4
SRR10002795	Human	1180206	0.36017567401368
SRR10002796	Filtered	313492	0.08013906463693649
SRR10002796	Duplicate	404688	0.1034518194716055
SRR10002796	Ribosomal	8365	0.002138374426422281
SRR10002796	Unassigned	1785518	0.45643825811316896
SRR10002796	Bacterial	958455	0.24501322903485562
SRR10002796	Archaeal	4934	0.0012612958063320423
SRR10002796	Viral	420	1.0736607998772959e-4
SRR10002796	Human	435978	0.11145059243069136
SRR10002797	Filtered	253307	0.05282730910796473
SRR10002797	Duplicate	459415	0.09581124174948034
SRR10002797	Ribosomal	11898	0.0024813342061868185
SRR10002797	Unassigned	1507535	0.3143972232748231
SRR10002797	Bacterial	1238916	0.2583765884511807
SRR10002797	Archaeal	4463	9.307610154825828e-4
SRR10002797	Viral	826	1.7226273779713498e-4
SRR10002797	Human	1318641	0.2750032794570846
SRR10002798	Filtered	192327	0.056400846685720415
SRR10002798	Duplicate	316576	0.0928374822067553
SRR10002798	Ribosomal	8096	0.0023741921558990287
SRR10002798	Unassigned	1081212	0.3170707817766676
SRR10002798	Bacterial	837561	0.24561891752556156
SRR10002798	Archaeal	1233	3.6158336564025474e-4
SRR10002798	Viral	803	2.3548373285411562e-4
SRR10002798	Human	972194	0.28510071255090175
SRR10002799	Filtered	562188	0.14210870359819233
SRR10002799	Duplicate	209718	0.05301207621152657
SRR10002799	Ribosomal	11102	0.0028063402764682477
SRR10002799	Unassigned	1830644	0.46274635102458467
SRR10002799	Bacterial	538464	0.13611180063305697
SRR10002799	Archaeal	655	1.655695263093769e-4
SRR10002799	Viral	401	1.013639390077254e-4
SRR10002799	Human	802870	0.2029477947908541
SRR10002800	Filtered	880308	0.17700293701965794
SRR10002800	Duplicate	337323	0.06782530855596232
SRR10002800	Ribosomal	17226	0.003463620225081026
SRR10002800	Unassigned	2417119	0.48600849035339744
SRR10002800	Bacterial	927227	0.1864369087682111
SRR10002800	Archaeal	1206	2.4248960823451278e-4
SRR10002800	Viral	300	6.032079806828676e-5
SRR10002800	Human	392700	0.07895992467138738
SRR10002801	Filtered	295494	0.0764175352710938
SRR10002801	Duplicate	333045	0.08612857802311193
SRR10002801	Ribosomal	13154	0.003401748458364528
SRR10002801	Unassigned	2243100	0.580086815186063
SRR10002801	Bacterial	631028	0.1631897921685306
SRR10002801	Archaeal	1031	2.666263235953952e-4
